Timestamp,Packets_per_sec,Packet_Size
2025-11-04 23:04:20.874557,664,1532
2025-11-04 23:04:21.874557,867,267
2025-11-04 23:04:22.874557,2401,379
2025-11-04 23:04:23.874557,162,377
2025-11-04 23:04:24.874557,2468,1119
2025-11-04 23:04:25.874557,3558,1159
2025-11-04 23:04:26.874557,3338,606
2025-11-04 23:04:27.874557,56,1191
2025-11-04 23:04:28.874557,3682,499
2025-11-04 23:04:29.874557,628,1037
2025-11-04 23:04:30.874557,2672,234
2025-11-04 23:04:31.874557,2498,1800
2025-11-04 23:04:32.874557,831,1779
2025-11-04 23:04:33.874557,478,1308
2025-11-04 23:04:34.874557,1584,432
2025-11-04 23:04:35.874557,3335,1516
2025-11-04 23:04:36.874557,1526,1283
2025-11-04 23:04:37.874557,4101,1437
2025-11-04 23:04:38.874557,4661,215
2025-11-04 23:04:39.874557,3118,1816
2025-11-04 23:04:40.874557,1132,1917
2025-11-04 23:04:41.874557,2737,1269
2025-11-04 23:04:42.874557,1500,909
2025-11-04 23:04:43.874557,2104,1440
2025-11-04 23:04:44.874557,4360,1929
2025-11-04 23:04:45.874557,4977,347
2025-11-04 23:04:46.874557,320,252
2025-11-04 23:04:47.874557,4502,548
2025-11-04 23:04:48.874557,1107,912
2025-11-04 23:04:49.874557,2766,1466
2025-11-04 23:04:50.874557,4477,541
2025-11-04 23:04:51.874557,1029,210
2025-11-04 23:04:52.874557,3807,1504
2025-11-04 23:04:53.874557,4325,1589
2025-11-04 23:04:54.874557,4657,863
2025-11-04 23:04:55.874557,1636,1690
2025-11-04 23:04:56.874557,503,406
2025-11-04 23:04:57.874557,1220,1017
2025-11-04 23:04:58.874557,3829,440
2025-11-04 23:04:59.874557,1466,273
2025-11-04 23:05:00.874557,2944,1867
2025-11-04 23:05:01.874557,3707,1627
2025-11-04 23:05:02.874557,4646,285
2025-11-04 23:05:03.874557,3292,1032
2025-11-04 23:05:04.874557,2234,1156
2025-11-04 23:05:05.874557,3591,828
2025-11-04 23:05:06.874557,1720,905
2025-11-04 23:05:07.874557,1899,459
2025-11-04 23:05:08.874557,1756,1959
2025-11-04 23:05:09.874557,3915,1565
2025-11-04 23:05:10.874557,1700,379
2025-11-04 23:05:11.874557,1727,1369
2025-11-04 23:05:12.874557,4107,1729
2025-11-04 23:05:13.874557,2644,630
2025-11-04 23:05:14.874557,2356,1111
2025-11-04 23:05:15.874557,2389,1529
2025-11-04 23:05:16.874557,4571,1064
2025-11-04 23:05:17.874557,4433,836
2025-11-04 23:05:18.874557,2456,594
2025-11-04 23:05:19.874557,3307,1813
2025-11-04 23:05:20.874557,4853,1092
2025-11-04 23:05:21.874557,2719,1994
2025-11-04 23:05:22.874557,1063,248
2025-11-04 23:05:23.874557,3238,664
2025-11-04 23:05:24.874557,82,542
2025-11-04 23:05:25.874557,1303,111
2025-11-04 23:05:26.874557,3882,1305
2025-11-04 23:05:27.874557,4500,1429
2025-11-04 23:05:28.874557,2294,1913
2025-11-04 23:05:29.874557,213,1461
2025-11-04 23:05:30.874557,296,1861
2025-11-04 23:05:31.874557,1233,1096
2025-11-04 23:05:32.874557,2895,968
2025-11-04 23:05:33.874557,1386,1900
2025-11-04 23:05:34.874557,3479,1386
2025-11-04 23:05:35.874557,1998,1221
2025-11-04 23:05:36.874557,1568,990
2025-11-04 23:05:37.874557,1490,1807
2025-11-04 23:05:38.874557,4123,717
2025-11-04 23:05:39.874557,4316,1583
2025-11-04 23:05:40.874557,2569,1294
2025-11-04 23:05:41.874557,1420,355
2025-11-04 23:05:42.874557,3603,694
2025-11-04 23:05:43.874557,961,1299
2025-11-04 23:05:44.874557,3308,597
2025-11-04 23:05:45.874557,2886,405
2025-11-04 23:05:46.874557,3968,341
2025-11-04 23:05:47.874557,1395,1186
2025-11-04 23:05:48.874557,2185,631
2025-11-04 23:05:49.874557,2149,735
2025-11-04 23:05:50.874557,1319,889
2025-11-04 23:05:51.874557,2594,337
2025-11-04 23:05:52.874557,4307,1288
2025-11-04 23:05:53.874557,2073,1404
2025-11-04 23:05:54.874557,2621,1147
2025-11-04 23:05:55.874557,2888,399
2025-11-04 23:05:56.874557,4047,918
2025-11-04 23:05:57.874557,2312,255
2025-11-04 23:05:58.874557,651,1135
2025-11-04 23:05:59.874557,4779,1271
2025-11-04 23:06:00.874557,881,1960
2025-11-04 23:06:01.874557,2968,325
